そだぞ	私は美少女戦士前原だよ
グッズさんへ私のグッズはどこですか。	私のも来てないよ  誰食べたの 
おはようございます	おはよう私も今起きた
クールでこういうキャラ好き 	私もスキィィィィ
アイコン欲しいな ˙༥˙ 	私が描いてあげる   
コミュ力高い人	ゼロっち私の印象それ強いよねww
僕も、週3のペースで投資してますw	私よりもヘビーユーザー
すげーハミテージ感だな……懐かし……	私もハミテ思い出してました 笑 
今日届く  	いーないーな私はまだ動いてない
可愛いわんちゃん飼わせて	私のことだな← 
地雷系と量産型ほど好きな物ないですはい	量産型でも地雷系でもない私は何者
ぽぽさんナイス	私は安定の走ってるだけです笑笑
クンさん持ってるよん	でも私スカ所持ってない
️	私も大好きありがとう
東西間違えて逆方向行ってしまったキツ	私もです     
大会の終わりから乗り始めるスタイル	私と一緒ww
妹が可愛いと日々が潤うわね。	私は日々潤ってるけどね。別の意味で
もともと美人さんだしー	私もそう思いますぅ 
すき	かわいい私もすき
はい  もちろん書くぜ	わーい 私も書いてもいい  
なにみゅに巨乳なのか  あ  	私ら高一だから願いは届くぜ人並み
私の相棒だろ 	私はちさの相棒であり婚約者です  は
想吹	私訊約
あの先生キラァイ 	私もwwwあのクソババア  
えげつないことゆうやんwww	私をいじった罪は重いよw
喫茶店タバコ吸えないのでもー会場なう	私の昨日と同じ状況です
シンプルに好き   	私もちーちゃんすっきーっ  
找會晨勃的你私照或影片看多硬約	無法私訊
想吃	私訊約
それはちがうよ	私もたくさん傷つけたからだめなの
私も愛してるー とてぎもラブ️	私もケロちゃん愛してるラブ
えっ、会いたい	私も会いたい
ことも このがいるから頑張れる	私もこといないと生きていけません
俺は眠い	私も眠い寒い
あじちゃんもやってみてー 	私は親分でした
着いた TT 	私も着いた 
ありがとう	私は何も助けてはいませんけどね
まって推しおきてたの  	私も起きてるよんおは
ひぃぃ墓場まで持って行きます	私も嬉しすぎて持ってっちゃう‍️
07なので1個差かもしれない  	ほんとに  私今中1の代だよ
呼吸だけ常駐するようにした	それは私も笑笑
好きだしたくさん絡んでくれるから  	私もなのはのこと好き 
マニアック	私の好きなお菓子やさん映ったよ
好き	私の相棒だろ 
あたしゃしらたきニシパと遊びたいんだよ	私もでしてよ      
セイラちゃんいるの️私西3いる	おお 私も今西③にいるよ
とぅきやよ 	私はしゅき
メタフォース絶対お腹空くよねどうしよう	私の食え
先ほどようやく落ちました	私は何時になるのかなぁ 
左 	予想当たった はい私天才  
うん   すき   	私もすーき 
君は 	私はタイトロンの女戦闘員ですよ
想吃	私訊約
え、綺麗すぎん	私の腕のおかげかな←
好きなんですね  	私の推しの子です 
天文90しかないからさすがにルレ回すか…	私天文今週、0 ̳ ̫ ̳ 
尊敬しなくていいよw	私絶対食べれないww
秒でリプ   みっちょん 好き 	私もかっぴぃ好き両思い
想吹	私訊約
めっちゃ薄いし背高い スタイル抜群 	あ、違います私は字です
不具合 	私が知らなさすぎだけかも
なんだゆるる  	私が友達  
え、ありがとう、、好き。。。。  	嬉しい ありがとう私も大好きだよ 
強いっ…やるねぇ	私最強なんで笑
初耳の極みです… ﾟ ﾟ 	私もです 
友達出来るか心配になってきた	私もそれすごい心配
クラブハウス行きたいな。	私も行きたい
ビンドゥンドゥンのポシェット欲しい。	私、けっこう可愛いと思うの
可愛いなぁあありがとう 	私も1番初めに出た言葉可愛いやった…
ほんとそれ	私たちは運営に試されてますw
みたいもん←	私の 
そういえば文アの自分用イラスト本作らんと	私の分もたのむ。金なら出す
想	私訊約
っぁ…  	   今の相手は私です
いじめてください	私だけみてて
英語わからん	私も日本語が分かりません     
想	私訊約
ネギじゃ無いの️	ねー。私も拡大して見ちゃった
うんうん。分かります   笑 	やっぱり私だけじゃなかった… 笑
やった るあ料理下手だから嬉しい	私も下手だけどるあちゃのためなら
このツイ読んだ私もなんだか幸せ	私の週に1回の楽しみなの
ワクワクです ≧∇≦ 	私もです  ╹ ╹  
歯が砕けるww	wwww大丈夫だ 私の歯は硬いっww
【急募】第5人格、やる気の出る方法	私と一緒に遊ぶ  私が遊びたいだけ説 
好想看起來好好吃	私訊約
うれちい	私もうれしいよ
想	私訊約
ているんは唯一無二の歌声だね  	私にとっては
スタンプ忘れてた	あ、私もだ…詰んだ…
すき	私も大好きです   ロ⊂    
ありがとう わたしもいる 	私はあなたが幸せです
すっごくすきぃ。	私もすきい
ありがとう改めてまたよろしくね	私の方こそよろしくね
彼氏できました	私も彼氏出来ました
やーん  英語わかんなーい   え 	私も同じって意味よ    
おはようございます	おはよう私は朝からバタバタ
 ω・｀ 	ありがとう私も仲良くするよ 
早速タメで ゆあって呼んでもいい  	うん 私はなんて呼んだらいい 
なにがジワジワ来てるのよww	poisonですよね私の顔面️
22個も食べた	私もっと食べてたかも
有的以尝试私聊。	私聊不了
ちょっと酔った好き	かわいい…私も好き
サクラ 	私はここに居るわ。ずっとアナタの傍に。
ありがとう 嬉しい  	私も絡めて嬉しいよ️
見てみ 自分の誤字w	んえ 私バカだからわかんない
え 好き  	え 私も好き
今日の見た目男の子みたい	私可愛い服着とる
大丈夫 つかれてる 	なんで私が心配されているんだよ 笑 
嫌い	私も
マルゼンスキーさんも可愛いですわ	へッ  私が…  
だいちゅき  	私も  
欲張って倍量にしたらしいwwwwww	倍量www私もやりかねんwwwwww
待つのに疲れた女	私もそれになる予感
6 7 8 11 15 16 18	あんた、私の安定やわ
だってアッガイ大好きですから	私もアッガイあとズゴックも好きです
ブルズで0点出して終了	私もです…
昨日だけで2冊読んでしもた	けび見習って私もたくさん本読む
もう雪はお腹いっぱいです	私もいりません
大好きだし絡みたいから	嬉しすぎる私も大好き
想	私訊約
え 	私オタクじゃないので殴らないでください
抱きつき返す  ´ω｀   	じゃ私は最後に吸い付く   
まあ確かに眠い時間帯だった 笑 	うん笑良い子の私にはきついわ
インスタ移行垢作ろうかな	それは私もお迎え   
 ΦдΦ  3	お疲れ様です私も仕事頑張ります️
自意識過剰も程々にね、、、 	あれ 私だけ対応違う…… 
いれるー   	嬉しい理人来たら私もするね️
ホッ	あくまで私基準ですけどね ´・∀・｀ 
北海道行きたい笑	私ももうすでに行きたい
ねむた祭 開催決定 	おはようございます 私も眠いです
負けだよ	FとJなので私の負けです 
おそよすぎるよ僕はもう仕事中だよ	偉すぎる私も見習います先生
え、会お	私のffおるけど
かわいいしすきだから	私ももかのこと好きだああ 
たしかにそうね	…私もやってみるか……←
テレビの前から動けない  	私もー️片時たりとも見逃せん
というか何を反省すんの 	私から逃げようとしたことです
おぢちゃんって呼びますね️	了解です 私は何て呼んだらいいですか 
自然の摂理	あーちゃんも私と黒砂糖しよ
楽しみだ	私もー️
食べる 	私は美味しくないですよー 
やば	私の脳みそがついてけない
贵阳 	私聊
大好きだから 	嬉しい 私も大好きだああ 
大好きだからぁぁぁぁぁぁ   	私も大好きだあああああうわああああ 
うううう	私も潜るかぁ…
お昼まで走ろ	えらじゃあ私勉強頑張ろ
わたしもおっぱいのことが大好きです 	爆笑、私のあげる 「・ω・ 「ホイ
あの人多分むっつりだから 仕方ない 	言うて私も目の前でハッチ閉めるっていう
つんwwww	じゃあ3日間一人称私でやるかぁw
️️️	私も何か探します ゲス顔 
全てが素敵ですね。	私にはもったいないお言葉
自白てwwww俺はキノコすき 	私は食べれるのと食べれないのがある 
護摩とかよこせ  	私にも分けて……
こいしちゃんだぁ	私の時間 みたいだから来てみたよ
太ももの関節が痛い	私がマッサージします
何も言わんのかい 期待してたのに 	私乙女だから       
いいよ ターぼ手加減しないからな  	私も負けませんよ… 
そうだね最近4時寝が多い	私ーも少しは原因w
悲しすぎる இдஇ 。 	私も寂しい
しおんちゅ 塩人 ですね	私も絡みゼロでブロックされてました。
チェケラ照れてる限界突破ぁ   	wwww何考えてんのやろ私wwww
ヘッダー募集	私のみゆなの️
まぁ、俺の方がおじさんなんで‍	あーみやし私より上か笑
起きた	私、起きたけど、まだゴロゴロ
ねむた祭 開催決定 	私もねむたいですうう 
Capcut 	えっ私もなのにこの差って   
私静岡とおい	私は秋田…え、や、遠い……
おはお      	私寝ちゃってた…おはよ  
笑笑笑笑手抜き最高よん	私の好きな言葉「手抜き」
勉強道具持ってこよ	私も今持ち込んでやってる、笑
最高ですね	私でしこってほしい
ちょっと酔った好き	酔っちゃったのw私も好き
 ´இ﹏இ｀ さみしいよ	私もだそれは
グッズさんへ私のグッズはどこですか。	私4月発送とかありえない聞いてない
はい同じwww神	あなたは私のものです
毎度ふーみん好き	私もしゅき️
東京。東京	私だけ浮いちょる   m
え、疑われててさらに泣いた	私も泣いてる
はーい 	私も会ってみたい 
なんでこんなに㒰立後糸扁たのしいん   	私も今日見ようかな 笑 
緊張する	私も緊張する  楽しみだよ  
ん 	 w私は居なくても誰も困らない 
じゃんじゃん絡みに行くからね 笑	待ち構えてるね 私も絡む  
頑張りましょう	私は解消してきます️
好きだから 	嬉しい 私も好き 
すき	私も好きWEST当てようね
友達をくれ… 	私にもよこせ…
はーい 	私も会ってみたい 
ほたるちゃんありがとう らぶ  	私もらぶ  
もう生きてるのしんどい‥‥	私もだよ
きのう食べた 	お、どうだった 私まだ食べられてない。
仲良くしたいにゃ	私もずッと仲良くしたいですッ 
えりちゃんって呼ぶねー   	はーい 私なんて呼べばいいですかー  
一生忘れない	ありがとっ 私も忘れない 
私がいちばん私をきらいだよ	それは私も自信あるかもです。。。
おはようございますㄟﾟㄋㄟﾟㄋさん	私の名前が日々進化していく
スペース	私が開くの 
好きです	私も好きです
風呂の…	私もそれちょうど見てましたね……
お疲れ様です	最後の方私半目だったかもしれません
とおいなーw	私最後に行ったの18年前w
あたり すげえなぱとこ 	やば。すげえな私
今日は彼とデートです  楽しみます   	私もです‍️
象間がこんな名前に  	私も知らんかったです
嬉しい再会ですね	私も感動して嬉しかったです
今日は遅めのバレンタインつくります 	私にも作ってー 
寝ちゃったwww	大丈夫w私も寝たw
白いブーツね 探す  	私も探す
会ってみたい  	私も会ってみたい 
セシリアで十分な感じですかこれ	私はセシリア出てから使ったことないなぁ
さちゃん もっと仲良くなりたーい	ほんとにそれ私も思ってる
朝ごはん食べた←遅すぎるそして眠い	もあにんおは私もさっき食べた爆笑
もうとっくに惚れてるなぁ	私もよしのに惚れすぎちゃってる
私はいつ発送されるのですか	私も発送されてません は
愛してる	私も
ウエディングピーチが好きだった	  私も好きでしたー   
仲良くしてぇ	私も仲良くしたいですッ 
おはよう眠いよ	おはようサン私はします
英検行ってくる行く準備する	私も今日2次試験www一緒に頑張ろ
カーリング決勝戦観戦中頑張れ🇯🇵	私も看てまーし がんばれ 日本 
ありがとぅー⸜  ॑ᗜ॑  ⸝	私も頑張りますね  
あ、ごめん	私がネタバレを気にしない性格でよかった
ガチ今起きた死ぬ	大丈夫私も今起きた  
設営完了も言えぬままいま	私もでしたうっかり  
会いたい大好き愛してる	会お。私も大好き愛してる
カーリング女子決勝見てる	美人バージョンの私出てます 
お は よ 	おはよーう 早いでしょ私
ほわちゃってタグやってなかった昔	私タグやった事ないなぁ
みんなあいたいな	私もあいたい
NHKの中継義堂アナが一瞬抜かれた	やっぱり 私も思った笑笑
衝撃な事実	私も衝撃よwwww
誰かチェイス教えてくれませんか     	私も知りたい…がんばろ 
愛してる	私も          
おまわりさんこいつです	私もおまわりさんです
明日はあiんiスiテ、ソワレですん	私もソワレです楽しみですね 
えみちゃんすきよ	こんな私でもコマウォ
ろにちゃんってお呼びしますね	私はなんて呼んだらいいですか  
920 いつなの 	私は3月6日 
あざっす頑張ります	私は4連勤の始まり
ちょっと酔った好き	私も好き️
え、聞けなかったー️	私なに聴いてたんだろう
ごめん何にマヨネーズ付けたん w	私にですね…… ｀・ω・´ 
楽しかったよ ありがと	私も楽しかった ありがと 
グッズさんへ私のグッズはどこですか。	私のグッズもどこですか 
もち もっと自発いくね 	私もいく 
その歳でまだ缶蹴りを純粋に楽しめるのか	うん、心は子どもやからね。私も君も。
どうやら教育が必要みたいだな	それを決めるのはゆまるじゃない私自身だ
私服見てみたいww	先に言っておくけど私の私服ダサいぞ 笑
やるならツイキャスとかでいいすか 笑	私は一向に構わん  
親学生     ってなってました  	だよね ww私も読み直して思った笑笑
この時間から日曜出勤… ›´ω ‹ 	私もです 共にがんばりましょ  
ごま降ってきたいっぱい	私、るなよりも早めに死んだ
素直すぎて吹いた	これが私の乞食スタイル。
なんかすることないですか	私にかまう
お腹痛い。おはよう	おはよ 私も痛い…
  うれぴっぴL VE	私もうれぴっぴ   らーぶ︎ 
家は大阪	私栃木県
偶にYouTubeで映像みてます。	私も、見ちゃいます
寝起き過ぎて何も考えられない	ここは誰  私はどこ あわわわ
杉ちゃん似すぎ️️️笑笑	私も一瞬本物かと思ったよ
とぼけておるなー  	だって私変態じゃないもーん 
暇や半熟誰もおらん	ベイビーボーイ私はここにいるよ
これは、O型の血ですね	私A型………
ウッ 心肺停止 	私、、人を殺めました…  
すごい	私、びっくしております嬉しい 
ちょっと酔った好き	私も好きです  ´꒳   
充電できた️️️️️️	私のおかげ称えろ
うちの愛方がかわいすぎてむりです	私ですか  え 
画面録画完了    	ナイス実は私も完了してた  
マスヒツの時のひめの湧きツイ可愛い	まって今気付いたけど私‍
自分もたまにある 	私初めてなった w
おはよーございます 生活習慣良すぎる	いいね笑私9時におきたww
切らないよぉぉ離さんからなぁぁぉ 	私も離さないよ 
育てましょう 楽しいですよ	初心者で不器用な私でも出来ますかね 
XXXXXXXXXXXX	私にはむりだぁ
了解しました      	私はなんとお呼びしたらいいですか  
横浜市からの転出を本気で検討中。	私もです️
わいはまずコスプレする服がない	私もあって秋物のワンピースなので…
熱くて眠れない	熱湯風呂で寝てたのかな私  
うんwあとはYouTubeとかw	私YouTube全く見ないんだよね、笑
いや 所有されてる 	えへ、私もうささの持ち物よ 
ほわちゃん好き 	私も好き    
やる気スイッチを探そうw	私にはないみたい…
私赤い女の子になる	私ジュモク
今日も今日とてカーリング観戦。	私も見てるw
おぉーゾロ目やん 	でしょ  ω   フッさすが私
そうなの	私も 
チーズケーキ食べりゅ	いいな 私の一番好きなケーキ 
悲報春休みに手術	期間は違うけど私も手術するよ 
おぼえやすいからぴっぴでよぶ	おけ 私はなんて呼ぶ 
祈っててよぉ	私祈ってます️
スプラ 	お行きなさい、私はリス地でまってるわ
お前まじそういうとこだよな	私の可愛いぼっちび  gt  lt  
今日英検面接なので応援ください、、、	私来週だ お互い頑張ろ ੭˙꒳˙ ੭
裸族好きは…スバルさんほどでは…	私も別に裸族が好きと言うわけでは……
き、緊張している…	私も列で死ぬほど緊張してる     
そなの、、、1口ちょーだいが口癖で	わかるその発言絶対言う私も
応援疲れて、寝るかも	そだねー 笑 私もかーい笑
僕もかわかっこいいりん姉好き    	さかなちゃんは私の癒しだぁあ
ぴぃちゃん愛してます	私もだよりんりん
なんやてΣ ﾟДﾟ 	ちょっと前の私のツイ見てみ 
ありがとう好き  	私もすきだよぉ 
私も今日買って来よかな	私も買って来ます
おはよまたチャレライ忘れた…	おはよ 私も忘れた ￣ ￣  
とっく 1 31で終わりだった 	はぁ じゃあ私と絡みたい放題だね  
偉人なりてえ	私のなかでラプ様は既に偉人です
 ⸝⸝⸝¯¯⸝⸝⸝  	えっ私のこと 
ビッグサイト着いた寒い	セイラちゃんいるの️私西3いる
ちょっとやっぱりアイコンが好きすぎるw	ありがとう笑笑私もこのアイコン好き笑
ここの保育園で働きたい️	私も
認證碼怎麼拿到的 	私DC
好きだよ	え …私も好きです。
ちゃんとお小遣い貯めれば買えます  	私には、ハードル高いかな
私明日います 	そうやったよね 私も夜公演入るよ
Tverで見るからいいもん	私はさっき二次会してきたわ
でも最近絡めて嬉しい 	うん 私も 
沢山リプする 	私も沢山リプするー 
好きだよ	私もえらくんのこと大好きです
面接官に鼻で笑われた詰み	私も
あいちゃん…どこ住み…  	私静岡とおい
それがいやでしてないw	私も T T 仕事休むことになるしな
はい  	私も会いたい 
そろそろ起きるかぁ…	私も起きる 
頑なに入ってくれないじゃん	ごめんってほんとは私も入りたいし
暇な時やりたいなあ	私いつでも暇
言ってへん	あやかは私のなのでだめでーす
今仕事帰りなんだけど、寒すぎない    	お疲れー  私も今帰り 風が冷たい…
じゃあリトリンに書いちゃうね 	ありがと  私も書いたよ
ごめんよー	いやいや、私のタッチミスだからー
なぬっ  	私のためにSDカード買ってきてよ
もうボロボロです凹みまくりです	私も凹んでます…️️
か弱いフリしててもむだだぜ	私か弱いもん
私お引越しちゃうタイプだからさあ	一途なタイプね私は気が多いよ←
英語苦手だ笑	私も苦手やで笑笑
じゃあ冷たくする	えぇ…傷ついた私に塩塗るの つд  
   ん どうした   あっ   	私はこのタグやりませんっ  
めっちゃ笑ってしまった	私は監視されている
「大優勝だよ 」	「じゃあ私も… ズズッ 」
リコピンとって強くなるんやで	私史上最強になった
四次元キャリーして	私もクリアしてないしやるか
ありがと	私の分まで楽しんできてね w
いやいや   金欠でっせ	あんたが金欠だったら私骨よ
おじさんもう起きてられない…	私はまだお姉さんだから起きてられるわ
伸ばすから大丈夫 	さすが「私の」うささ 
げーしょー 	私もげーしょーしたい
愛知   なりちゃんは   	え 私も一緒  愛知だよ   
え誕生日の次の日学年末テストは泣いた	私毎年誕生日定期テストでした
ユーリ   onICEは面白いのかな	私は好きだよー   
おはよう之助	おはよう私のまいももももも
フォロー失礼します‍️	私もフォロー失礼します  
自分合うとこ探しでまわってましたよ	私も、それが普通だと思ってましたw
こんな恐ろしい人だとは…	多分私だけ ˙ ˙ 
某豆さんなら直撃してましたね…。	やはり私では神の領域には届かない…
これからも愛してるぞ 	私もっ 
もっと絡みたいよ  	私もおお
こっっっっっっわ     	私の友達はみんな今クマドリになってます
同い年なの  めっちゃ嬉しい	私も嬉しい仲良くしてねん
はいやっぱり可愛いすき	そう言ってくれるれふが私はすき  
第二のコジめび爆誕してしまう	私はお酒なんかに負けない   フラグ
カーリング女子の可愛さよ	私も応援中です 
湯ねる入館温泉から攻略して来る	あれ、私も今日行きます…  
あおすき 	私も青好き 戻すか迷うじゃんん   
めちゃさがった。	まって私今回あげたのはじめてだよ笑
だいすきまるo     o   	でも私だけのしーちゃんで居てね
次のライブが楽しみすぎる、、、 	私も楽しみだよー
長い事なかったけどね	未だに私のところには無いですw
にゃんちゅう  あれは雄笑笑	しかも私犬だしね笑笑
1枚目すっごく可愛いねʕꈍᴥꈍʔ 	だよね、私も1枚目が1番好き
える	私も絡んでほしい
昼入ります   	私も入ります  
手が人間の手だ。。。	私もそこにびっくりしました
眠い…	おはよう 私寝すぎたw
よろしくー 沢山絡むね	私もたくさん絡みにいくね
楽しかったありがと	私も楽しかったーあ また遊ぼね
宜しくねたくさんリプしちゃうっ 	私もたくさん絡みにいくね
自分には酔ってるんだけどなぁ	酔えって言った私が悪かった
一生愛しちゃう	私も 
トランプが大統領な人達…… 	私もバイデンさんよりは好きかなあ…
当たれば行く 笑	私もそんな感じ笑
いいね、北浦とか両総用水とか行きたいわ	私もその2つは行きたい
へぇ私以外の、、 って	私以外の、、 
よるたのしみ	私もーっ️‍久々蜜ちゃん️‍
載せようかどうしようかの感情	載せよう。私も載せたんや。
くるちゃんが可愛いんだよ 	私は可愛くないよ️
大好き	まいまい私も好きだよ 
ブスこそ乳出す 僻み	出す乳もない私は、女神
私はふくおか   まいかは   	私みえだよー   とおいね
はやくない   	私もびびったしかも朝の8時に届いた  
あーんえみちゃんすき  ω＼  	私も大好き  ∀＼  
最後の目怖すぎ	私も怖い
そこじゃなくてね笑笑	いきなりすぎて全私が吹いちゃったよ
ぽてらヴ	ぼたかわいい    私もびっくらぶ
穴があいてらっしゃるんですね 	はい、私もピアス付きですから
だ、だよなぁw	死んじゃったら私が死ぬまで寄り添うw
緊張してきた	私も 
ミモザ 綺麗 	みんな大好きな花よね私も超大好き
千歌ならやってくれるって信じてたわ 	私が初めてな言い方じゃんっ←
もしかしてパパのほうの狩崎 	それ私も思ってましたわ
沢山食べるのは得意です	私もです 笑 ️️
すきなんかいでもむかえにいくね	私も絶対うゆはむかえにいくね
